"","Package","LibPath","Version","Priority","Built"
"130","PKI","C:/R/Library","0.1-5.1",NA,"3.4.1"
"131","plogr","C:/R/Library","0.1-1",NA,"3.4.0"
"132","plot3D","C:/R/Library","1.1.1",NA,"3.4.2"
"133","plyr","C:/R/Library","1.8.4",NA,"3.4.1"
"134","praise","C:/R/Library","1.0.0",NA,"3.4.3"
"135","proto","C:/R/Library","1.0.0",NA,"3.4.0"
"136","psych","C:/R/Library","1.7.8",NA,"3.4.2"
"137","purrr","C:/R/Library","0.2.4",NA,"3.4.2"
"138","quadprog","C:/R/Library","1.5-5",NA,"3.4.0"
"139","quantmod","C:/R/Library","0.4-12",NA,"3.4.3"
"140","quantreg","C:/R/Library","5.34",NA,"3.4.2"
"141","R.matlab","C:/R/Library","3.6.1",NA,"3.4.1"
"142","R.methodsS3","C:/R/Library","1.7.1",NA,"3.4.0"
"143","R.oo","C:/R/Library","1.21.0",NA,"3.4.0"
"144","R.utils","C:/R/Library","2.6.0",NA,"3.4.2"
"145","R6","C:/R/Library","2.2.2",NA,"3.4.1"
"146","RcmdrMisc","C:/R/Library","1.0-7",NA,"3.4.3"
"147","RColorBrewer","C:/R/Library","1.1-2",NA,"3.4.0"
"148","Rcpp","C:/R/Library","0.12.15",NA,"3.4.3"
"149","RcppEigen","C:/R/Library","0.3.3.3.1",NA,"3.4.2"
"150","readr","C:/R/Library","1.1.1",NA,"3.4.0"
"151","readstata13","C:/R/Library","0.9.0",NA,"3.4.2"
"152","readxl","C:/R/Library","1.0.0",NA,"3.4.1"
"153","registry","C:/R/Library","0.5",NA,"3.4.3"
"154","relimp","C:/R/Library","1.0-5",NA,"3.4.0"
"155","rematch","C:/R/Library","1.0.1",NA,"3.4.0"
"156","rematch2","C:/R/Library","2.0.1",NA,"3.4.3"
"157","reprex","C:/R/Library","0.1.2",NA,"3.4.3"
"158","reshape2","C:/R/Library","1.4.3",NA,"3.4.3"
"159","rgexf","C:/R/Library","0.15.3",NA,"3.4.0"
"160","rgl","C:/R/Library","0.99.9",NA,"3.4.3"
"161","rglwidget","C:/R/Library","0.2.1",NA,"3.4.0"
"162","RgoogleMaps","C:/R/Library","1.4.1",NA,"3.4.0"
"163","rJava","C:/R/Library","0.9-9",NA,"3.4.2"
"164","RJSONIO","C:/R/Library","1.3-0",NA,"3.4.0"
"165","rlang","C:/R/Library","0.1.6",NA,"3.4.3"
"166","rmarkdown","C:/R/Library","1.8",NA,"3.4.2"
"167","Rmpfr","C:/R/Library","0.7-0",NA,"3.4.3"
"168","rngtools","C:/R/Library","1.2.4",NA,"3.4.0"
"169","Rook","C:/R/Library","1.1-1",NA,"3.4.0"
"170","rprojroot","C:/R/Library","1.3-2",NA,"3.4.3"
"171","rsconnect","C:/R/Library","0.8.5",NA,"3.4.2"
"172","rstudioapi","C:/R/Library","0.7",NA,"3.4.2"
"173","rvest","C:/R/Library","0.3.2",NA,"3.4.2"
"174","rvg","C:/R/Library","0.1.7",NA,"3.4.3"
"175","sandwich","C:/R/Library","2.4-0",NA,"3.4.2"
"176","scales","C:/R/Library","0.5.0",NA,"3.4.2"
"177","selectr","C:/R/Library","0.3-1",NA,"3.4.2"
"178","sem","C:/R/Library","3.1-9",NA,"3.4.0"
"179","shiny","C:/R/Library","1.0.5",NA,"3.4.2"
"180","sourcetools","C:/R/Library","0.1.6",NA,"3.4.0"
